[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001410s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001516s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001906s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001993s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.010356s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010461s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000590s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001146s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000450s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000573s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002908s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.003129s ]
[ 2012-03-11T17:19:40+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.003212s ]
[ 2012-03-11T17:36:19+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:36:19+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000441s ]
[ 2012-03-11T17:36:19+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000523s ]
[ 2012-03-11T17:36:19+08:00 ] /index.php | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:36:19+08:00 ] /index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.023088s ]
[ 2012-03-11T17:36:19+08:00 ] /index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.023166s ]
[ 2012-03-11T17:36:19+08:00 ] /index.php | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.128403s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.128480s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Tag[ view_filter ] --START--
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Run ContentReplace Behavior [ RunTime:0.022525s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Run TokenBuild Behavior [ RunTime:0.006788s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004811s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.009779s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.044095s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.060924s ]
[ 2012-03-11T17:36:20+08:00 ] /index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.061026s ]
[ 2012-03-11T17:37:17+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:38:03+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:39:10+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:39:14+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 无法加载模块Photo
